abroad.house,diff.us.house,same.house
0,414,3328
0,596,2539
0,303,3440
51,832,4085
0,159,2807
40,710,5467
0,265,2519
68,367,3513
19,485,4456
19,154,3137
58,665,5263
0,235,3388
119,1731,3503
6,150,1813
40,246,3968
77,362,3726
34,539,1417
28,294,2522
112,326,5748
30,985,2122
36,252,1507
16,347,1469
0,883,2559
127,1030,3650
26,568,4068
15,351,3718
0,154,2556
82,761,4027
125,630,5541
2,384,3257
18,704,4774
92,64,1901
31,344,3607
293,1443,7415
0,872,6468
57,891,5590
210,475,4542
35,496,4487
60,1083,5480
175,1117,1774
80,340,3241
30,1502,6080
120,1241,5971
28,306,3018
0,1453,5155
50,626,2570
55,972,4879
37,844,1834
20,490,4950
49,329,2694
116,196,4394
11,273,2986
41,818,3925
68,696,4398
0,253,2435
83,506,6720
0,90,1702
290,520,6658
76,263,2446
13,329,4329
22,479,3657
90,484,3706
62,415,3110
30,488,4391
30,236,2166
16,688,3661
13,565,4034
84,425,4972
0,344,8139
87,839,3474
55,198,3066
23,489,2662
0,251,3368
49,474,3437
75,499,1690
74,648,4137
96,681,4608
78,306,3270
44,350,4509
72,421,5203
17,273,4554
14,336,2711
15,417,4029
7,318,2033
140,817,6563
19,817,2372
191,874,4768
11,254,2364
66,453,4662
139,1694,5837
59,462,2595
91,106,2819
55,604,5017
95,383,5656
27,1290,3852
139,229,4009
31,495,4250
5,283,2495
12,161,2962
20,219,3996
130,600,3956
42,210,2685
209,599,3964
90,217,3140
18,168,1515
15,336,2307
0,77,2245
0,109,1535
22,155,2333
24,140,3085
26,459,4842
61,750,4448
351,543,5137
67,192,2415
64,219,3400
77,924,4398
9,181,2895
67,266,5233
0,570,3081
0,1062,6186
82,362,2910
93,1267,3943
115,489,6737
11,208,3501
248,1217,4318
68,923,7000
53,734,4625
150,767,4769
59,169,2627
51,210,4092
104,422,3632
0,235,2726
151,439,4591
45,194,2353
515,667,6452
119,204,3672
0,328,3203
0,542,4072
72,418,2746
49,253,2219
28,292,2266
67,832,6290
15,440,4167
318,847,5193
133,1092,5626
429,1277,6414
282,1829,3481
335,1134,4849
21,284,1230
99,998,4181
215,404,3412
81,219,1737
56,121,2440
78,217,2910
57,353,4266
89,600,4662
52,59,2509
93,448,4704
63,338,2566
238,769,5983
19,324,1843
89,643,6175
37,895,2485
461,1023,3610
155,1223,3195
145,605,3563
29,216,1604
37,464,3431
10,433,2858
28,238,3794
61,206,4305
260,1968,2662
217,573,1961
119,436,6844
42,364,3801
46,423,5333
56,187,3092
44,390,5311
48,212,2957
6,151,1818
54,770,2275
12,754,4476
49,525,3263
55,716,6480
187,689,3142
127,907,3138
328,2026,4371
124,651,1664
93,1170,2395
70,866,2835
88,822,2104
120,596,4726
35,350,5028
12,47,1088
34,905,5412
102,904,6166
4,181,2068
23,165,3094
7,467,5782
90,1045,3681
83,1353,4849
49,341,4425
75,486,2714
0,516,3086
53,684,1666
23,888,2858
138,1374,2794
39,477,4305
192,798,3625
27,595,2867
13,146,2133
167,3013,7049
0,207,2734
28,311,4543
0,420,4771
0,548,6823
0,329,7219
59,563,4921
27,506,5822
29,844,2358
26,219,6250
8,118,1689
10,87,3685
57,153,3128
91,1007,5215
21,667,5861
29,750,854
0,984,6527
18,539,2994
165,595,3794
38,1087,3902
97,382,4324
40,521,3286
84,205,3631
9,253,2605
185,1078,6029
1,194,6900
37,670,4455
119,542,5195
158,945,2995
361,1932,5245
13,1728,2960
236,1225,3390
3,366,3088
45,502,1992
29,496,2497
77,1241,5616
49,573,6038
31,489,5672
13,245,2765
40,560,5976
7,187,3841
62,203,3171
28,692,3908
0,243,3837
