no.schooling,private,public
2686,368,688
2518,183,434
2814,208,721
3626,256,1086
2226,203,537
4227,385,1605
2244,195,345
2729,284,935
3506,317,1137
2502,222,586
4423,222,1341
2851,259,513
2644,528,2181
1488,89,392
3129,271,854
3200,212,753
1625,103,262
2168,227,449
4432,388,1366
2712,157,268
1639,29,127
1425,73,334
2720,159,563
3539,153,1115
3423,271,968
3086,118,880
1995,55,660
3568,162,1140
4380,376,1540
2796,255,592
4065,305,1126
1568,82,407
3004,252,726
7091,223,1837
5081,302,1957
4812,190,1536
3819,115,1293
3468,203,1347
4715,156,1752
1872,184,1010
2888,160,613
5727,175,1710
4844,319,2169
2348,143,861
4198,656,1754
2422,139,685
4456,252,1198
2157,108,450
4026,292,1142
2351,161,560
3464,281,961
2213,154,903
3129,253,1402
3619,243,1300
1815,100,773
5177,274,1858
1383,150,259
5407,214,1847
2109,91,585
3513,116,1042
3328,175,655
2930,162,1188
2686,125,776
3316,147,1446
1639,150,643
3042,342,981
3410,213,989
3822,208,1451
6539,315,1629
3103,148,1149
2364,149,806
2272,222,680
2454,216,949
2757,216,987
1768,121,375
3378,280,1201
3787,178,1420
2511,206,937
3463,214,1226
4043,269,1384
3435,167,1242
2225,206,630
3200,278,983
1567,97,694
5156,329,2035
2894,183,131
4493,220,1120
1968,129,532
3787,211,1183
2275,246,5149
2210,138,768
2092,100,824
3945,361,1370
4552,226,1356
4120,215,834
3093,115,1169
3662,274,840
2086,174,523
2417,118,600
3238,322,675
3612,144,930
2282,196,459
3726,205,841
2545,186,716
1318,47,336
2035,107,516
1818,106,398
1233,165,246
1918,209,383
2556,114,579
4445,142,740
4120,208,931
4182,138,1711
2157,92,425
3015,231,437
4033,469,897
2489,118,478
4162,138,1266
2733,240,678
4499,319,2430
2598,113,643
3914,136,1253
5350,176,1815
2772,217,731
4138,377,1268
6422,263,1306
3873,227,1312
4337,459,890
2449,135,271
3045,413,895
2972,421,765
2013,259,689
3923,422,836
1765,270,557
5042,423,2169
2959,150,886
2570,194,767
3354,214,1046
2382,281,573
1796,97,628
1782,161,643
5095,386,1708
3239,348,1035
4647,507,1204
4939,384,1528
5914,397,1809
4621,298,673
4718,423,1177
1088,82,365
3967,301,1010
3054,231,746
1240,76,721
1885,334,398
2295,307,603
3353,553,770
3877,292,1182
2033,179,408
3795,358,1092
1970,237,760
5097,449,1444
1616,114,456
5169,443,1295
2744,137,536
4106,350,638
3458,125,990
3441,313,559
1325,155,369
3013,114,805
2450,115,736
2938,411,711
3206,360,1006
3880,248,762
2098,198,455
5271,842,1286
2896,384,927
4194,362,1246
2256,300,779
4162,395,1188
2394,295,528
1441,68,466
2542,122,435
3754,139,1349
2901,188,748
5187,197,1867
3220,176,622
3421,64,687
4969,214,1542
2027,179,233
2866,97,695
2614,214,943
2086,179,749
3737,181,1524
3776,331,1306
880,80,187
4576,242,1533
5651,376,1145
1668,89,496
2272,256,754
4330,306,1620
3321,345,1150
4568,445,1272
3585,313,917
2756,171,348
2724,147,731
1841,46,516
3165,140,464
3842,185,279
3847,272,702
3268,203,1144
2794,79,616
1624,131,537
7605,585,2039
2127,94,720
3344,201,1337
3706,192,1293
5017,319,2035
5158,365,2025
4085,191,1267
4522,362,1471
2440,62,729
4789,331,1375
1271,91,453
2645,200,937
2422,185,731
4772,135,1406
4776,406,1367
1264,16,353
5281,310,1920
2557,205,789
3541,75,938
3783,165,1079
3584,145,1074
2625,185,1037
2580,72,1268
1978,164,725
5274,115,1903
4889,482,1724
3604,388,1170
4271,118,1467
3184,229,685
5481,302,1755
3407,111,1183
3457,262,1132
2342,213,902
1983,114,442
2187,144,691
5214,236,1484
4991,475,1194
4505,340,1347
2324,166,533
4657,221,1698
2849,299,887
2379,155,902
3432,131,1065
3082,163,835
