,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
1,549,536,236,427,563,515,519,242,155,1901,1841,13,1789,1852,88,0,414,3328,2230,16,118,49,163,188,45,933,75,398,108,0,3161,220,1736,1660,51,75,2686,368,688,226,3516,263,120,1953,225,939,137,86,19,3514,228,168,164,357,89,2964
2,225,306,325,462,528,521,462,231,75,1873,1262,69,1951,1004,111,0,596,2539,1591,10,39,58,77,346,106,908,54,167,90,10,2814,488,1031,1488,19,109,2518,183,434,372,2763,425,178,1184,240,914,32,122,40,2926,209,186,63,41,108,2737
3,403,430,378,545,593,578,431,182,203,1964,1779,37,2223,1417,66,0,303,3440,2211,109,6,245,149,227,132,664,130,482,443,17,2671,329,1519,1599,55,241,2814,208,721,510,3233,272,144,1520,125,1436,100,142,4,3542,201,215,219,617,153,2539
4,672,607,717,1022,735,636,456,41,82,2346,2622,92,2779,1952,145,51,832,4085,2818,71,91,440,392,502,207,447,556,797,1065,201,2349,433,2167,2300,55,13,3626,256,1086,317,4651,385,231,2189,229,1759,25,137,13,3984,984,251,991,656,74,2996
5,324,299,272,308,377,580,411,282,113,1508,1458,64,1561,1317,24,0,159,2807,1712,0,38,156,138,134,93,695,39,438,76,61,2352,141,1529,1109,68,119,2226,203,537,304,2662,269,36,1405,135,863,114,126,18,2770,196,126,510,154,177,1999
6,989,981,251,920,973,674,659,476,294,3088,3129,99,2763,3134,221,40,710,5467,4360,18,76,96,257,143,45,1222,171,609,466,0,4971,568,2591,2619,98,341,4227,385,1605,669,5548,423,206,3454,384,1383,111,232,24,5659,558,305,1209,13,227,4463
7,395,242,149,119,485,453,470,206,265,1445,1339,50,1303,1395,36,0,265,2519,1865,0,2,0,23,30,39,825,27,272,42,9,2434,56,1642,930,18,138,2244,195,345,331,2453,258,57,1481,225,620,35,102,6,2700,84,149,2,14,51,2568
8,733,648,144,394,730,583,296,265,155,1863,2085,105,1961,1847,35,68,367,3513,2546,13,54,12,39,77,86,1121,78,243,24,9,3594,86,2008,1674,20,160,2729,284,935,155,3793,570,140,1987,179,825,95,127,25,3806,142,118,93,30,96,3611
9,750,696,415,408,813,727,434,341,376,2494,2466,87,2310,2475,88,19,485,4456,3197,25,17,93,153,144,22,1309,151,272,30,0,4507,195,2534,2011,8,212,3506,317,1137,340,4620,559,131,2650,235,1056,194,118,17,4822,138,231,47,25,103,4554
10,430,376,191,335,509,543,518,202,206,1856,1454,37,1706,1526,41,19,154,3137,1942,29,79,28,127,151,72,882,60,462,78,0,2710,160,1899,1049,24,178,2502,222,586,218,3092,223,82,1604,219,852,154,133,43,3102,208,272,152,40,207,2639
11,942,766,810,948,757,803,508,223,229,2909,3077,147,3201,2565,73,58,665,5263,3282,44,232,492,299,308,152,1177,126,598,1251,13,3998,523,2244,2890,146,183,4423,222,1341,625,5361,478,207,2785,427,1745,161,174,9,5128,858,443,1211,177,375,3780
12,374,399,248,359,459,720,522,384,158,1773,1850,50,1782,1728,63,0,235,3388,2228,0,60,43,50,142,49,1051,146,356,62,32,3027,179,1985,1173,53,233,2851,259,513,308,3315,387,65,1841,265,740,106,197,22,3457,166,183,124,93,170,3053
13,1587,1059,672,1126,660,210,39,0,0,2468,2885,1022,987,3231,113,119,1731,3503,3857,0,101,151,282,252,170,540,405,111,36,64,4737,145,2328,2855,13,12,2644,528,2181,234,5119,462,64,4366,54,345,0,51,11,4158,1195,218,1202,101,591,3241
14,202,323,104,173,220,322,389,167,69,934,1035,9,882,1022,56,6,150,1813,1255,23,6,38,27,106,51,463,27,88,8,6,1840,92,906,793,62,116,1488,89,392,141,1828,173,125,1087,46,320,118,70,30,1883,86,65,91,6,43,1764
15,475,561,563,481,600,654,428,248,244,1956,2298,20,2128,1956,150,40,246,3968,2722,18,85,197,309,196,122,605,89,1348,507,32,2278,224,1759,2105,33,133,3129,271,854,441,3813,215,37,2126,239,1446,77,87,27,3774,480,750,545,212,142,2605
16,492,452,501,671,555,747,530,161,56,2166,1999,41,2227,1716,181,77,362,3726,2447,0,54,174,254,208,77,951,32,896,365,0,2872,344,1801,1803,81,136,3200,212,753,222,3943,474,127,1938,272,1132,86,111,25,3632,533,747,954,65,202,2197
17,125,108,481,553,244,330,105,44,0,990,1000,61,1509,350,70,34,539,1417,696,0,85,119,78,282,131,599,50,158,176,27,1579,248,639,1020,22,61,1625,103,262,85,1905,329,53,481,197,860,34,7,29,1918,72,254,592,50,67,1027
18,417,283,222,460,447,485,287,156,87,1412,1432,45,1542,1157,100,28,294,2522,1714,12,63,56,88,129,63,719,58,470,193,9,2114,218,1308,1206,14,98,2168,227,449,214,2630,253,116,1302,179,781,109,84,20,2666,178,390,383,47,107,1917
19,918,861,610,708,1067,919,569,388,146,3203,2983,84,3345,2635,122,112,326,5748,3665,15,158,238,183,417,254,1256,233,1004,553,37,4359,357,2891,2693,0,245,4432,388,1366,316,5870,664,257,2841,564,1558,126,155,21,5639,547,590,928,343,153,4172
20,232,85,688,1037,413,360,216,61,45,1577,1560,74,2329,685,49,30,985,2122,1161,14,103,198,178,325,179,979,23,387,514,54,2159,373,1096,1580,27,61,2712,157,268,265,2872,652,157,808,277,1102,54,55,32,2805,332,645,546,192,75,1679
21,46,74,174,142,162,175,383,397,242,798,997,7,813,940,35,36,252,1507,1178,0,76,31,13,117,13,367,19,249,122,18,1387,288,782,549,24,152,1639,29,127,345,1450,170,53,982,57,465,15,34,19,1738,57,38,167,46,80,1464
22,125,103,356,438,397,254,95,35,29,883,949,74,1357,370,31,16,347,1469,701,6,49,135,148,184,107,502,37,164,278,6,1347,195,751,839,32,15,1425,73,334,97,1735,316,56,475,133,752,13,64,23,1600,232,122,297,220,55,1138
23,543,146,809,912,376,301,237,96,22,1711,1731,100,2060,1234,48,0,883,2559,1659,44,126,122,184,254,130,923,24,340,486,41,2551,292,1172,1836,70,72,2720,159,563,242,3200,567,51,1382,245,885,145,83,84,3041,401,383,1049,253,45,1712
