,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
0,546,513,234,449,580,532,505,229,154,1891,1851,22,1837,1805,78,0,398,3344,2157,20,117,66,145,198,32,1007,79,412,104,0,3147,218,1769,1626,50,79,2716,356,670,224,3518,287,106,1899,229,974,140,85,22,3510,232,193,172,354,93,2930
1,234,304,298,457,550,533,459,222,78,1859,1276,73,1949,1008,105,0,563,2572,1557,6,36,64,75,325,104,968,50,182,86,17,2800,473,1110,1440,17,95,2520,179,436,363,2772,426,169,1185,249,882,37,142,45,2954,181,211,56,46,105,2717
2,441,434,396,526,602,557,419,194,174,1977,1766,33,2210,1428,72,0,299,3444,2150,112,10,242,150,244,136,699,132,497,444,15,2655,317,1526,1635,56,209,2762,211,770,461,3282,266,154,1526,129,1433,93,135,7,3549,194,258,223,596,145,2521
3,485,618,751,1044,777,665,473,60,95,2366,2602,93,2924,1807,144,40,821,4107,2780,68,98,440,391,501,205,485,550,816,1051,206,2345,434,2173,2288,57,16,3650,251,1067,334,4634,385,220,2185,225,1775,25,142,11,3986,982,280,988,656,83,2961
4,385,297,252,298,383,550,406,283,112,1470,1496,71,1533,1335,27,0,179,2787,1609,0,42,140,129,139,91,816,36,444,78,55,2353,142,1503,1139,70,112,2234,210,522,278,2688,281,38,1422,144,837,114,117,13,2770,196,154,464,155,184,2009
5,927,967,256,926,1012,697,686,470,276,3106,3111,100,2849,3053,215,45,710,5462,4304,26,79,112,258,166,54,1218,170,641,474,0,4932,567,2664,2561,102,323,4285,386,1546,657,5560,455,206,3364,403,1416,113,232,28,5680,537,343,1221,16,230,4407
6,422,242,157,130,498,448,475,198,214,1423,1361,48,1334,1361,41,0,278,2506,1794,0,3,0,33,31,46,877,27,281,46,10,2420,66,1612,962,22,122,2222,192,370,313,2471,268,49,1441,241,644,30,102,9,2703,81,184,8,18,45,2529
7,705,634,138,424,729,611,303,255,149,1928,2020,107,2004,1799,38,70,377,3501,2524,10,62,10,49,90,88,1115,74,262,39,18,3555,85,2043,1641,24,155,2738,288,922,159,3789,565,152,1921,180,870,100,137,23,3813,135,145,115,33,108,3547
8,705,714,431,413,835,700,444,354,364,2506,2454,83,2349,2436,92,27,497,4436,3192,38,23,87,159,168,30,1263,164,279,39,0,4478,216,2535,1995,10,204,3519,308,1133,346,4614,538,142,2597,250,1094,201,116,22,4818,142,246,58,33,109,4514
9,424,381,168,334,501,575,532,214,181,1829,1481,34,1736,1501,39,19,165,3126,1874,42,86,26,125,151,63,943,53,481,85,0,2691,157,1919,1040,25,169,2499,224,587,220,3090,241,82,1557,210,877,163,135,45,3106,204,271,162,44,193,2640
10,901,706,814,969,747,836,545,242,226,2925,3061,150,3316,2448,72,63,675,5248,3205,44,224,484,328,317,163,1221,134,615,1221,16,4000,523,2323,2818,139,183,4491,224,1271,619,5367,510,217,2664,427,1796,164,199,9,5127,859,482,1209,175,364,3756
11,393,377,245,366,486,738,528,345,145,1762,1861,53,1849,1661,60,0,254,3369,2087,0,67,61,59,157,48,1144,141,397,68,29,2988,182,1974,1190,62,215,2883,248,492,287,3336,431,77,1770,274,726,122,192,31,3452,171,230,140,95,157,3001
12,606,1323,851,1410,838,266,59,0,0,2730,2623,461,1432,3298,162,119,1305,3929,4286,0,48,73,137,121,82,606,447,75,40,56,4735,88,2172,3065,15,13,2620,520,2213,248,5105,461,63,4374,52,346,0,50,7,4158,1195,225,1202,107,598,3221
13,236,311,112,194,212,301,375,163,65,922,1047,10,876,1027,56,6,152,1811,1192,28,6,31,30,98,43,541,42,94,5,6,1822,86,888,821,62,112,1463,114,392,156,1813,179,111,1084,55,337,112,63,28,1876,93,77,101,3,39,1749
