,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
0,536,540,241,433,543,536,522,256,135,1919,1823,9,1840,1817,76,0,439,3303,2127,19,115,59,175,189,44,1014,87,422,111,0,3122,214,1741,1656,50,81,2659,387,696,241,3501,264,117,1891,238,964,138,97,33,3525,217,182,165,356,91,2948
1,235,320,309,428,537,497,467,257,85,1866,1269,70,1917,1040,108,0,601,2534,1582,6,32,73,77,329,109,927,61,184,85,7,2798,443,1095,1456,21,120,2491,187,457,391,2744,427,174,1212,241,897,36,112,36,2948,187,202,65,34,120,2714
2,405,407,372,553,560,602,425,196,223,1955,1788,30,2210,1433,70,0,350,3393,2142,111,10,238,157,250,129,706,143,497,445,13,2645,328,1544,1575,49,247,2811,219,713,499,3244,261,150,1506,124,1442,112,143,5,3533,210,233,200,599,167,2544
3,701,598,691,1004,708,658,461,47,100,2410,2558,112,2757,1964,135,50,830,4088,2780,79,89,406,390,503,198,523,551,796,1010,206,2405,418,2202,2275,49,24,3635,259,1074,317,4651,416,214,2169,242,1751,26,139,11,4029,939,271,953,630,75,3039
4,328,278,249,348,369,609,417,272,96,1479,1487,60,1646,1238,22,0,170,2796,1578,0,39,178,154,153,98,766,50,432,75,56,2353,132,1561,1094,63,116,2236,205,525,292,2674,288,32,1318,136,922,119,132,19,2788,178,120,488,146,157,2055
5,980,969,257,917,971,712,650,479,282,3063,3154,87,2810,3105,215,48,687,5482,4259,22,87,108,233,134,52,1322,175,617,505,0,4920,547,2648,2579,106,337,4280,368,1569,704,5513,437,200,3378,393,1430,117,241,21,5675,542,354,1164,18,213,4468
6,366,274,119,141,477,446,467,232,262,1458,1326,47,1295,1404,38,0,276,2508,1861,0,2,0,22,31,43,825,36,279,55,7,2407,60,1648,918,23,135,2210,193,381,309,2475,267,59,1470,231,609,36,108,4,2698,86,179,3,12,62,2528
7,746,601,152,414,726,589,291,286,143,1892,2056,110,1978,1824,36,61,386,3501,2432,16,60,21,46,89,87,1197,82,254,26,9,3577,92,2034,1644,28,150,2756,278,914,163,3785,573,149,1956,183,847,97,120,23,3809,139,132,112,22,105,3577
8,804,640,425,437,800,716,452,334,352,2500,2460,84,2370,2408,98,21,519,4420,2990,36,22,99,183,195,28,1407,151,309,36,0,4464,201,2493,2031,9,226,3558,306,1096,351,4609,559,131,2568,253,1094,197,137,21,4819,141,278,57,30,123,4472
9,440,357,203,353,483,577,474,226,197,1838,1472,40,1746,1490,34,24,177,3109,1845,26,86,38,142,157,74,942,59,495,93,0,2663,164,1867,1073,21,185,2521,214,575,218,3092,228,82,1555,218,889,161,132,45,3106,204,321,159,49,210,2571
10,940,753,788,921,741,830,528,249,236,2937,3049,131,3223,2547,85,65,673,5248,3226,50,230,478,285,332,158,1227,118,633,1204,19,4012,508,2334,2832,133,179,4437,224,1325,626,5360,479,228,2732,406,1800,148,182,11,5191,795,434,1165,170,392,3825
11,389,400,235,372,464,713,521,381,148,1761,1862,53,1820,1683,67,0,252,3371,2079,0,72,55,52,148,63,1154,131,365,67,25,3035,184,1981,1188,50,220,2835,239,549,301,3322,414,60,1783,274,788,113,170,21,3447,176,188,117,86,190,3042
12,1593,1013,685,1123,685,212,42,0,0,2473,2880,1024,1024,3189,116,116,1743,3494,3805,0,118,163,285,253,167,562,411,115,43,65,4719,148,2345,2829,16,15,2670,539,2144,228,5125,458,72,4316,59,376,0,58,14,4158,1195,217,1206,104,599,3227
13,208,297,99,173,241,315,366,183,87,944,1025,8,900,1002,59,7,151,1811,1211,19,7,36,31,111,38,516,34,80,4,5,1846,102,897,789,64,117,1479,81,409,158,1811,188,111,1053,55,352,115,63,32,1883,86,67,80,11,52,1759
14,498,551,535,513,607,657,417,240,236,1937,2317,24,2142,1947,141,46,253,3955,2577,24,90,212,309,221,113,708,91,1322,493,31,2317,220,1759,2101,39,135,3101,283,870,459,3795,244,39,2085,234,1450,80,98,24,3821,433,742,537,217,135,2623
15,470,459,477,688,540,764,508,194,65,2132,2033,37,2251,1695,182,70,372,3723,2334,0,65,168,248,214,73,1063,36,893,345,0,2891,355,1818,1778,81,133,3206,208,751,218,3947,486,126,1896,236,1179,98,110,34,3649,516,743,890,82,199,2251
