,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
0,548,537,241,431,572,515,515,242,141,1888,1854,24,1805,1819,94,0,441,3301,2159,23,113,56,171,193,55,972,75,433,120,0,3114,215,1750,1648,52,77,2682,360,700,218,3524,265,127,1907,213,981,137,86,26,3520,222,199,179,342,91,2931
1,251,302,334,480,492,536,432,240,68,1862,1273,67,1928,1032,108,0,614,2521,1563,9,40,51,73,345,106,948,57,183,85,15,2795,466,1044,1497,15,113,2497,183,455,368,2767,418,177,1198,238,898,37,133,36,2922,213,182,63,43,107,2740
2,403,430,377,558,595,573,404,212,191,1973,1770,37,2216,1415,75,0,334,3409,2171,117,6,226,171,244,114,694,129,487,467,19,2641,330,1523,1583,65,242,2811,200,732,498,3245,260,133,1508,117,1479,103,139,4,3543,200,229,227,600,149,2538
3,692,591,704,1051,728,630,449,42,81,2340,2628,94,2779,1939,156,53,871,4044,2745,77,80,458,380,537,202,489,549,803,1064,197,2355,423,2179,2296,56,14,3640,262,1066,320,4648,395,215,2159,228,1791,28,131,21,3996,972,252,984,642,84,3006
4,317,293,291,322,359,606,397,284,97,1495,1471,56,1618,1264,28,0,188,2778,1626,0,52,154,157,148,87,742,55,442,88,62,2319,153,1503,1130,70,110,2226,200,540,311,2655,246,38,1367,134,928,120,119,14,2766,200,130,485,165,176,2010
5,995,973,259,929,976,725,634,450,276,3049,3168,91,2806,3094,226,38,773,5406,4262,16,84,93,261,161,62,1278,177,623,476,0,4941,556,2575,2625,103,358,4213,375,1629,679,5538,427,204,3384,370,1448,120,241,23,5666,551,321,1202,11,229,4454
6,384,260,152,135,485,469,441,200,258,1444,1340,48,1310,1392,34,0,271,2513,1830,0,3,0,29,25,46,851,36,271,50,12,2415,58,1631,941,18,136,2210,187,387,348,2436,256,49,1470,203,666,31,98,11,2693,91,173,0,17,50,2544
7,699,672,150,427,694,592,294,264,156,1878,2070,96,1987,1833,32,61,383,3504,2510,7,49,13,44,88,87,1150,64,260,35,11,3578,95,1998,1684,21,150,2736,270,942,176,3772,558,149,1961,186,856,93,125,20,3814,134,122,111,30,100,3585
8,758,687,408,442,796,743,419,350,357,2498,2462,90,2343,2436,91,13,519,4428,3123,24,20,92,161,153,30,1357,134,280,36,0,4510,183,2532,2026,9,210,3510,313,1137,333,4627,537,134,2608,259,1090,202,114,16,4818,142,247,46,28,103,4536
9,431,378,181,360,490,577,518,189,186,1828,1482,38,1713,1510,49,26,192,3092,1885,24,83,24,138,163,68,925,71,481,108,0,2650,165,1867,1080,19,179,2504,216,590,216,3094,211,87,1559,228,892,152,134,47,3102,208,295,161,47,208,2599
10,935,769,798,949,753,810,497,245,230,2919,3067,135,3203,2570,78,76,697,5213,3245,50,222,490,287,330,147,1215,137,600,1227,11,4011,513,2275,2865,148,185,4407,211,1368,626,5360,482,216,2776,416,1753,156,177,10,5141,845,466,1192,185,364,3779
11,367,414,241,370,445,712,546,368,160,1796,1827,56,1806,1692,69,0,279,3344,2193,0,57,43,55,157,43,1075,147,351,67,29,3029,166,1981,1180,51,245,2828,258,537,329,3294,363,74,1795,249,820,97,200,25,3451,172,179,141,91,171,3041
12,1595,1053,662,1137,659,209,38,0,0,2463,2890,1017,996,3228,112,120,1729,3504,3852,0,97,147,285,258,168,546,400,122,38,65,4728,143,2339,2851,11,9,2656,522,2175,237,5116,460,61,4359,58,347,0,56,12,4166,1187,206,1202,96,596,3253
13,204,311,104,195,206,328,379,172,70,961,1008,6,884,1027,52,6,161,1802,1242,29,7,37,28,104,53,469,26,100,9,6,1828,100,892,804,58,115,1474,101,394,143,1826,152,112,1085,48,367,112,61,32,1892,77,63,87,8,33,1778
14,466,556,569,490,588,689,396,257,243,1986,2268,24,2139,1945,146,46,276,3932,2669,17,74,186,313,212,126,657,85,1329,488,30,2322,207,1806,2083,33,125,3138,275,841,446,3808,222,43,2097,237,1470,74,83,28,3804,450,716,520,208,144,2666
15,472,453,499,679,562,748,514,173,65,2186,1979,44,2225,1705,191,76,398,3691,2418,0,53,175,269,215,70,965,44,886,364,0,2871,344,1842,1766,80,133,3181,215,769,236,3929,463,136,1916,264,1148,96,116,26,3647,518,722,934,70,200,2239
16,137,108,472,532,249,341,112,39,0,1002,988,63,1511,353,63,47,552,1391,700,0,101,117,80,275,114,603,44,171,194,28,1553,257,646,996,24,67,1633,107,250,88,1902,297,50,470,194,921,22,8,28,1912,78,262,547,58,66,1057
17,386,283,226,479,432,489,286,170,93,1427,1417,34,1560,1149,101,34,312,2498,1682,13,63,60,98,136,62,730,55,483,193,6,2107,208,1318,1187,15,116,2204,212,428,215,2629,228,113,1277,176,849,107,79,15,2670,174,399,365,52,99,1929
18,934,852,636,723,1042,913,562,386,138,3280,2906,70,3358,2636,122,116,366,5704,3609,14,161,236,209,424,259,1274,229,990,551,35,4381,355,2890,2692,0,249,4404,389,1393,313,5873,639,274,2815,564,1598,121,153,22,5648,538,608,919,340,168,4151
19,240,97,656,1011,426,410,198,62,37,1595,1542,65,2328,694,50,24,985,2128,1132,17,107,196,190,336,178,981,26,395,538,46,2132,364,1112,1578,26,57,2682,150,305,261,2876,617,150,822,284,1130,50,46,38,2801,336,646,546,183,84,1678
20,56,74,166,152,159,192,372,391,233,801,994,6,816,932,41,33,267,1495,1167,0,74,31,20,118,12,373,15,254,134,14,1378,281,799,537,27,151,1635,28,132,332,1463,164,56,966,61,480,15,34,19,1735,60,43,146,46,70,1490
21,142,128,353,421,357,256,102,36,37,889,943,62,1322,418,30,13,336,1483,707,8,60,128,129,189,102,509,43,166,280,4,1339,192,721,861,32,26,1392,71,369,115,1717,275,64,524,131,742,16,62,18,1611,221,134,282,212,51,1153
22,519,164,800,918,348,327,243,98,25,1743,1699,101,2083,1214,44,0,876,2566,1620,48,125,125,204,263,126,931,28,346,488,39,2541,293,1172,1836,74,67,2694,171,577,240,3202,528,53,1366,243,938,139,81,94,3042,400,388,1020,231,46,1757
