SERIALNO,AGE,SEX,EMPLOYMENT,MOBILITY,INCOME,CITIZENSHIP,MARITAL_STATUS,SCHOOLING,DISABILITY,WORK,INSURANCE,RACE
2018GQ0010588,55,1,6,1,0,1,5,1,1,,1,2
2018GQ0031918,60,1,6,1,0,1,5,1,2,,1,2
2018GQ0036596,77,1,6,1,0,1,1,1,1,,1,1
2018GQ0040678,60,1,6,1,0,1,5,1,2,,1,2
2018GQ0059632,83,2,6,1,0,1,2,1,1,,1,1
2018GQ0072982,62,2,1,1,1200,1,5,1,1,1,1,2
2018GQ0075016,22,1,1,3,3000,1,5,1,2,1,2,2
2018GQ0081037,67,2,6,1,0,1,2,1,1,,1,1
2018GQ0081408,67,2,6,1,0,1,2,1,1,,1,1
2018GQ0087332,77,1,6,1,0,1,1,1,1,,1,1
2018GQ0101563,47,1,1,1,30000,1,5,1,2,2,1,1
2018GQ0105375,76,2,6,3,0,1,1,1,1,,1,1
2018GQ0110853,88,2,6,3,0,1,3,1,1,,1,1
2018GQ0128726,59,2,6,3,0,1,5,1,1,,1,1
2018GQ0141450,59,2,6,3,0,1,5,1,1,,1,1
2018GQ0145281,38,2,6,1,0,1,5,1,1,,1,2
2018GQ0148526,76,2,6,3,0,1,1,1,1,,1,1
2018HU0000797,62,2,2,1,0,1,5,1,2,6,1,1
2018HU0001971,36,1,1,1,60000,1,5,1,2,1,1,1
2018HU0001975,61,1,6,1,0,1,5,1,1,,1,2
2018HU0006728,74,2,6,1,0,1,1,1,2,,1,1
2018HU0006728,77,1,6,1,0,1,1,1,2,,1,1
2018HU0006728,46,1,1,1,15000,1,5,1,1,2,1,1
2018HU0009911,59,1,1,1,186000,1,5,1,2,2,1,1
2018HU0009993,38,1,1,1,28000,1,5,1,2,1,1,1
2018HU0010020,68,1,6,1,0,1,5,1,2,,1,1
2018HU0010602,36,2,1,1,132000,4,1,1,2,1,1,6
2018HU0010602,37,1,1,1,72000,4,1,1,2,1,1,6
2018HU0010602,11,1,,1,,1,5,2,2,,1,6
2018HU0010602,8,1,,1,,1,5,2,2,,1,6
2018HU0010602,7,1,,1,,1,5,2,2,,1,6
2018HU0015168,36,1,1,1,100000,1,1,1,2,3,1,1
2018HU0015168,35,2,6,1,0,1,1,1,2,3,1,1
2018HU0015168,4,1,,1,,1,5,2,2,,1,1
2018HU0015168,2,1,,1,,1,5,,2,,1,1
2018HU0016682,47,1,1,1,115000,1,1,1,2,1,1,1
2018HU0016682,40,2,1,1,75000,1,1,1,2,1,1,1
2018HU0016682,4,2,,1,,1,5,3,2,,1,1
2018HU0016682,1,1,,1,,1,5,,2,,1,1
2018HU0017189,53,1,3,1,0,1,1,1,2,1,1,1
2018HU0017189,44,2,1,1,130000,1,1,1,2,1,1,1
2018HU0017189,9,2,,1,,1,5,2,2,,1,1
2018HU0017189,6,1,,1,,1,5,2,2,,1,1
2018HU0020439,39,1,1,1,110000,1,1,1,2,1,1,1
2018HU0020439,39,2,1,1,50000,1,1,1,2,1,1,1
2018HU0020439,4,2,,1,,3,5,3,2,,1,1
2018HU0020439,3,1,,1,,1,5,3,2,,1,1
2018HU0021205,64,2,1,1,8300,4,3,1,2,1,1,6
2018HU0026890,60,1,1,1,217000,1,1,1,2,1,1,1
2018HU0026890,59,2,3,1,0,4,1,1,2,6,1,6
2018HU0029891,42,2,1,1,87000,1,5,1,2,1,1,1
2018HU0029891,3,1,,1,,1,5,1,2,,1,9
2018HU0031354,54,2,1,1,34000,1,2,1,2,1,1,1
2018HU0033861,29,2,1,3,58000,1,5,1,2,1,1,1
2018HU0034931,86,1,6,1,0,1,1,1,2,,1,1
2018HU0034931,84,2,6,1,0,4,1,1,2,,1,1
2018HU0037491,73,2,6,1,0,1,1,1,2,,1,1
2018HU0037491,76,1,1,1,108000,1,1,1,2,7,1,1
2018HU0037990,49,2,1,1,58000,1,4,1,2,3,1,1
